Tipo de vehículo;Accesorios de seguridad;Tipo Accidente;Sexo;Edad;Muertos;Graves;Leves;Accidentes;Victimas
Ambulancia;NINGUNO;Atropello a peatón;Desconocido;;0;0;0;1;0
Ambulancia;NINGUNO;Atropello a peatón;Hombre;1;0;0;0;1;0
Ambulancia;NINGUNO;Atropello a peatón;Hombre;3;0;0;0;1;0
Ambulancia;NINGUNO;Atropello a peatón;Hombre;;0;0;0;1;0
Ambulancia;NINGUNO;Atropello a peatón;Mujer;2;0;0;0;1;0
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Hombre;1;0;1;2;7;3
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Hombre;2;0;0;8;15;8
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Hombre;3;0;0;9;18;9
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Hombre;4;0;0;4;9;4
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Hombre;;0;0;0;2;0
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;1;0;1;2;4;3
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;2;0;0;9;10;9
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;3;0;0;5;5;5
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;4;0;2;4;5;6
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;5;0;0;1;1;1
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;7;1;0;0;2;1
Ambulancia;NINGUNO;Colisión lateral y frontolateral;Mujer;8;0;0;0;1;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;1;0;0;0;2;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;2;0;0;0;7;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;3;0;0;2;7;2
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;4;0;0;2;4;2
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;5;0;0;0;1;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;6;0;1;0;1;1
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Hombre;;0;0;0;1;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Mujer;2;0;0;0;4;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Mujer;3;0;0;2;5;2
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Mujer;5;0;0;0;1;0
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Mujer;7;0;0;1;1;1
Ambulancia;NINGUNO;Colisión por alcance y múltiple;Mujer;8;0;0;0;1;0
Ambulancia;NINGUNO;Otro tipo de accidente;Hombre;2;0;0;3;3;3
Ambulancia;NINGUNO;Otro tipo de accidente;Hombre;3;0;0;1;4;1
Ambulancia;NINGUNO;Otro tipo de accidente;Hombre;4;0;0;1;1;1
Ambulancia;NINGUNO;Otro tipo de accidente;Mujer;1;0;0;1;1;1
Ambulancia;NINGUNO;Otro tipo de accidente;Mujer;3;0;0;1;1;1
Ambulancia;NINGUNO;Otro tipo de accidente;Mujer;4;0;0;0;1;0
Ambulancia;NINGUNO;Salida de la vía;Hombre;2;1;0;0;1;1
Ambulancia;NINGUNO;Salida de la vía;Hombre;7;1;0;0;1;1
Ambulancia;NINGUNO;Salida de la vía;Mujer;7;1;0;0;1;1
Ambulancia;SE DESCONOCE;Atropello a peatón;Hombre;3;0;0;0;6;0
Ambulancia;SE DESCONOCE;Atropello a peatón;Hombre;5;0;0;0;2;0
Ambulancia;SE DESCONOCE;Colisión frontal;Hombre;2;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión frontal;Hombre;;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión frontal;Mujer;8;0;0;1;2;1
Ambulancia;SE DESCONOCE;Colisión frontal;Mujer;;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Desconocido;;0;0;2;1;2
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Hombre;1;0;0;1;1;1
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Hombre;2;0;0;4;10;4
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Hombre;3;0;0;5;9;5
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Hombre;4;0;0;0;2;0
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Hombre;5;0;0;0;2;0
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Mujer;1;0;0;2;2;2
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Mujer;2;0;0;1;1;1
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Mujer;4;0;0;3;3;3
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Mujer;5;0;0;1;1;1
Ambulancia;SE DESCONOCE;Colisión lateral y frontolateral;Mujer;8;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;2;0;0;2;3;2
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;3;0;0;1;4;1
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;4;0;0;0;2;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;5;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;6;0;0;0;2;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;7;0;0;2;2;2
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Hombre;;0;0;1;2;1
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;1;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;4;0;0;1;1;1
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;5;0;0;2;2;2
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;7;0;0;1;1;1
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;8;0;0;0;1;0
Ambulancia;SE DESCONOCE;Colisión por alcance y múltiple;Mujer;;0;0;3;2;3
Ambulancia;SE DESCONOCE;Otro tipo de accidente;Hombre;3;0;0;1;1;1
Ambulancia;SE DESCONOCE;Otro tipo de accidente;Mujer;3;0;0;0;1;0
Ambulancia;SE DESCONOCE;Salida de la vía;Hombre;3;0;1;0;1;1
Ambulancia;SE DESCONOCE;Salida de la vía;Hombre;4;0;1;1;1;2
Ambulancia;SE DESCONOCE;Salida de la vía;Hombre;5;1;0;0;1;1
Ambulancia;SE DESCONOCE;Salida de la vía;Mujer;7;0;1;0;1;1
Ambulancia;SE DESCONOCE;Salida de la vía;Mujer;8;0;0;1;1;1
Ambulancia;SISTEMA DE RETENCIÓN;Colisión lateral y frontolateral;Mujer;;0;0;0;1;0
Ambulancia;SISTEMA DE RETENCIÓN;Colisión por alcance y múltiple;Hombre;;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Hombre;1;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Hombre;2;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Hombre;3;0;0;0;3;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Hombre;4;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Hombre;;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Atropello a peatón;Mujer;2;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión frontal;Hombre;2;0;1;2;5;3
Ambulancia;UTILIZANDO CINTURÓN ;Colisión frontal;Hombre;3;0;0;3;6;3
Ambulancia;UTILIZANDO CINTURÓN ;Colisión frontal;Hombre;4;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión frontal;Mujer;5;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión frontal;Mujer;6;0;0;2;2;2
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;1;0;0;0;2;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;2;0;0;8;22;8
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;3;0;0;10;23;10
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;4;0;0;3;9;3
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;5;0;0;1;7;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;6;0;0;0;2;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;7;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Hombre;;0;0;1;3;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;1;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;2;0;0;2;5;2
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;3;0;0;3;4;3
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;4;0;0;1;3;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;5;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;6;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;7;0;0;2;2;2
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;8;0;1;0;3;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión lateral y frontolateral;Mujer;;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Desconocido;;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;1;0;0;1;2;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;2;0;0;6;20;6
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;3;0;0;5;22;5
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;4;0;1;4;10;5
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;5;0;0;2;4;2
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;6;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;8;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Hombre;;0;0;2;2;2
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;0;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;1;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;2;0;0;4;6;4
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;3;0;0;0;3;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;4;0;0;4;5;4
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;5;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;6;0;0;0;2;0
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;7;0;0;3;2;3
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;8;0;0;1;2;1
Ambulancia;UTILIZANDO CINTURÓN ;Colisión por alcance y múltiple;Mujer;;0;0;1;2;1
Ambulancia;UTILIZANDO CINTURÓN ;Otro tipo de accidente;Hombre;1;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Otro tipo de accidente;Hombre;2;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Otro tipo de accidente;Hombre;3;0;0;5;2;5
Ambulancia;UTILIZANDO CINTURÓN ;Otro tipo de accidente;Hombre;4;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Otro tipo de accidente;Mujer;2;0;1;0;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;1;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;2;0;1;1;4;2
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;3;0;0;7;8;7
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;4;0;0;2;3;2
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;5;0;0;0;1;0
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;6;0;0;2;2;2
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;7;0;1;1;3;2
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;8;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Hombre;;0;0;3;1;3
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Mujer;2;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Mujer;3;0;0;1;2;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Mujer;4;0;0;2;3;2
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Mujer;6;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Salida de la vía;Mujer;7;0;1;2;3;3
Ambulancia;UTILIZANDO CINTURÓN ;Vuelco en la calzada;Hombre;3;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Vuelco en la calzada;Mujer;5;0;0;1;1;1
Ambulancia;UTILIZANDO CINTURÓN ;Vuelco en la calzada;Mujer;8;0;0;1;1;1
Autobús;NINGUNO;Atropello a peatón;Desconocido;;0;0;0;3;0
Autobús;NINGUNO;Atropello a peatón;Hombre;0;0;0;1;1;1
Autobús;NINGUNO;Atropello a peatón;Hombre;1;0;0;0;2;0
Autobús;NINGUNO;Atropello a peatón;Hombre;2;0;0;0;30;0
Autobús;NINGUNO;Atropello a peatón;Hombre;3;0;0;0;77;0
Autobús;NINGUNO;Atropello a peatón;Hombre;4;0;0;0;80;0
Autobús;NINGUNO;Atropello a peatón;Hombre;5;0;0;0;27;0
Autobús;NINGUNO;Atropello a peatón;Hombre;6;0;0;0;1;0
Autobús;NINGUNO;Atropello a peatón;Hombre;;0;0;0;3;0
Autobús;NINGUNO;Atropello a peatón;Mujer;0;0;0;1;1;1
Autobús;NINGUNO;Atropello a peatón;Mujer;1;0;0;0;3;0
Autobús;NINGUNO;Atropello a peatón;Mujer;2;0;0;1;4;1
Autobús;NINGUNO;Atropello a peatón;Mujer;3;0;0;5;15;5
Autobús;NINGUNO;Atropello a peatón;Mujer;4;0;0;5;9;5
Autobús;NINGUNO;Atropello a peatón;Mujer;5;0;0;7;9;7
Autobús;NINGUNO;Atropello a peatón;Mujer;6;0;0;2;1;2
Autobús;NINGUNO;Atropello a peatón;Mujer;7;0;0;7;7;7
Autobús;NINGUNO;Atropello a peatón;Mujer;8;0;0;1;1;1
Autobús;NINGUNO;Atropello a peatón;Mujer;;0;0;0;1;0
Autobús;NINGUNO;Colisión frontal;Desconocido;1;0;0;0;1;0
Autobús;NINGUNO;Colisión frontal;Desconocido;2;0;0;0;1;0
Autobús;NINGUNO;Colisión frontal;Desconocido;;0;0;0;1;0
Autobús;NINGUNO;Colisión frontal;Hombre;0;0;1;2;2;3
Autobús;NINGUNO;Colisión frontal;Hombre;1;0;0;2;4;2
Autobús;NINGUNO;Colisión frontal;Hombre;2;0;0;2;6;2
Autobús;NINGUNO;Colisión frontal;Hombre;3;0;0;3;8;3
Autobús;NINGUNO;Colisión frontal;Hombre;4;0;0;7;12;7
Autobús;NINGUNO;Colisión frontal;Hombre;5;0;0;2;6;2
Autobús;NINGUNO;Colisión frontal;Hombre;6;0;0;3;1;3
Autobús;NINGUNO;Colisión frontal;Hombre;7;0;0;4;4;4
Autobús;NINGUNO;Colisión frontal;Hombre;8;0;0;1;1;1
Autobús;NINGUNO;Colisión frontal;Hombre;;0;0;0;2;0
Autobús;NINGUNO;Colisión frontal;Mujer;0;0;0;2;1;2
Autobús;NINGUNO;Colisión frontal;Mujer;1;0;0;7;7;7
Autobús;NINGUNO;Colisión frontal;Mujer;2;0;0;6;8;6
Autobús;NINGUNO;Colisión frontal;Mujer;3;0;0;6;9;6
Autobús;NINGUNO;Colisión frontal;Mujer;4;0;0;2;9;2
Autobús;NINGUNO;Colisión frontal;Mujer;5;0;1;4;8;5
